cid,st_tock,povprecje_px,mediana_px,std_odklon_px,max_napaka_px,mean_dx,mean_dy
13,123,3.47,0.0,13.23,71.49,3.44,0.35
14,158,1.55,0.0,6.74,46.39,1.02,0.26
15,174,3.28,0.0,12.33,86.4,-2.73,-0.11
16,45,2.54,0.0,11.96,62.38,-2.53,-0.04
17,446,1.01,0.0,4.24,37.57,0.73,0.06
18,446,0.92,0.0,3.09,17.55,-0.28,-0.31
19,446,1.58,0.0,5.7,43.33,-1.32,-0.52
20,346,1.4,0.0,4.39,23.17,0.33,0.88
21,446,0.85,0.0,2.97,20.27,-0.31,-0.22
22,446,1.03,0.0,3.97,26.82,0.76,-0.25
23,316,2.64,0.0,8.53,53.46,2.56,-0.14
24,446,1.52,0.0,5.81,43.42,1.37,0.35
25,446,1.04,0.0,4.65,41.7,0.94,-0.05
26,441,1.21,0.0,4.61,35.51,0.99,-0.42
27,70,4.42,0.0,10.65,37.84,4.26,-1.11
28,4,0.0,0.0,0.0,0.0,0.0,0.0
30,17,7.14,0.0,18.37,70.43,-2.0,4.04
31,457,2.35,0.0,9.13,74.35,-0.97,-1.2
