cid,st_tock,povprecje_px,mediana_px,std_odklon_px,max_napaka_px,mean_dx,mean_dy
9,4,2.29,0.0,4.57,9.15,2.21,-0.6
10,1,0.0,0.0,,0.0,0.0,0.0
13,364,1.89,0.0,7.83,51.8,-0.39,0.05
14,364,1.87,0.0,6.61,41.94,0.38,0.77
15,364,2.11,0.0,7.12,45.05,1.27,0.91
16,309,2.8,0.0,9.52,79.0,1.93,0.54
17,364,1.44,0.0,5.2,33.4,1.37,-0.2
18,364,0.66,0.0,2.57,21.2,0.46,-0.04
19,354,0.98,0.0,3.86,24.2,-0.89,0.01
20,317,0.94,0.0,4.26,31.13,-0.79,-0.11
21,348,0.55,0.0,2.73,24.08,0.41,-0.19
22,346,1.6,0.0,5.87,44.44,1.41,-0.63
23,293,1.24,0.0,5.17,43.21,0.97,-0.54
24,364,2.19,0.0,7.77,56.26,1.93,-0.9
25,347,1.57,0.0,6.11,50.21,1.24,-0.81
26,333,1.31,0.0,4.68,37.65,0.88,-0.88
27,207,2.02,0.0,7.03,46.7,1.86,-0.72
28,36,0.0,0.0,0.01,0.06,0.0,-0.0
30,59,6.78,0.0,17.49,65.16,6.75,0.32
31,364,1.17,0.0,4.27,28.25,0.94,0.42
