frame,cid,orig_x,orig_y,cvat_x,cvat_y,dx,dy,dist_px
0,13,240.0,326.0,240.0,326.0,0.0,0.0,0.0
0,14,248.0,435.0,248.0,435.0,0.0,0.0,0.0
0,15,259.0,571.0,259.0,571.0,0.0,0.0,0.0
0,16,313.0,952.0,313.0,952.0,0.0,0.0,0.0
0,17,1031.0,330.0,1031.0,330.0,0.0,0.0,0.0
0,18,1145.0,380.0,1145.0,380.0,0.0,0.0,0.0
0,19,1319.0,460.0,1319.0,460.0,0.0,0.0,0.0
0,20,1526.0,561.0,1526.0,561.0,0.0,0.0,0.0
0,21,1337.0,407.0,1337.0,407.0,0.0,0.0,0.0
0,22,1342.0,358.0,1342.0,358.0,0.0,0.0,0.0
0,23,1590.0,452.0,1590.0,452.0,0.0,0.0,0.0
0,24,1200.0,272.0,1200.0,272.0,0.0,0.0,0.0
0,25,1324.0,311.0,1324.0,311.0,0.0,0.0,0.0
0,26,1443.0,350.0,1443.0,350.0,0.0,0.0,0.0
0,27,1699.0,438.0,1699.0,438.0,0.0,0.0,0.0
0,28,1898.0,508.0,1898.0,508.0,0.0,0.0,0.0
0,31,515.0,474.0,515.0,474.0,0.0,0.0,0.0
1,13,239.25,326.0,239.25,326.0,0.0,0.0,0.0
1,14,247.25,435.0,247.25,435.0,0.0,0.0,0.0
1,15,258.25,571.25,258.25,571.25,0.0,0.0,0.0
1,16,312.5,952.25,312.5,952.25,0.0,0.0,0.0
1,17,1030.75,330.0,1030.75,330.0,0.0,0.0,0.0
1,18,1144.75,380.0,1144.75,380.0,0.0,0.0,0.0
1,19,1318.75,460.0,1318.75,460.0,0.0,0.0,0.0
1,20,1525.75,560.75,1525.75,560.75,0.0,0.0,0.0
1,21,1336.75,407.0,1336.75,407.0,0.0,0.0,0.0
1,22,1341.75,358.0,1341.75,358.0,0.0,0.0,0.0
1,23,1589.75,452.0,1589.75,452.0,0.0,0.0,0.0
1,24,1199.75,272.0,1199.75,272.0,0.0,0.0,0.0
1,25,1323.75,310.75,1323.75,310.75,0.0,0.0,0.0
1,26,1442.75,350.0,1442.75,350.0,0.0,0.0,0.0
1,27,1698.75,438.0,1698.75,438.0,0.0,0.0,0.0
1,28,1897.75,508.0,1897.75,508.0,0.0,0.0,0.0
1,31,514.5,474.0,514.5,474.0,0.0,0.0,0.0
2,13,237.6875,326.0,223.6,327.3,-14.087500000000006,1.3000000000000114,14.147355097331804
2,14,245.6875,435.0,245.1,445.4,-0.5875000000000057,10.399999999999977,10.416580832979674
2,15,256.6875,571.6875,268.2,584.2,11.512499999999989,12.512500000000045,17.002950111671822
2,16,311.125,953.1875,325.1,948.5,13.975000000000023,-4.6875,14.740192714140498
2,17,1030.0625,330.0,1030.06,330.0,-0.0025000000000545697,0.0,0.0025000000000545697
2,18,1144.3125,380.0,1144.31,380.0,-0.0025000000000545697,0.0,0.0025000000000545697
