frame,cid,orig_x,orig_y,cvat_x,cvat_y,dx,dy,dist_px
0,0,663.0,237.0,663.0,237.0,0.0,0.0,0.0
0,1,522.0,292.0,522.0,292.0,0.0,0.0,0.0
0,2,369.0,346.0,369.0,346.0,0.0,0.0,0.0
0,6,501.0,353.0,501.0,353.0,0.0,0.0,0.0
0,7,202.0,473.0,202.0,473.0,0.0,0.0,0.0
0,8,511.0,415.0,511.0,415.0,0.0,0.0,0.0
0,9,892.0,309.0,892.0,309.0,0.0,0.0,0.0
0,10,765.0,378.0,765.0,378.0,0.0,0.0,0.0
0,11,549.0,481.0,549.0,481.0,0.0,0.0,0.0
0,12,304.0,612.0,304.0,612.0,0.0,0.0,0.0
0,13,1850.0,285.0,1850.0,285.0,0.0,0.0,0.0
0,14,1854.0,427.0,1854.0,427.0,0.0,0.0,0.0
0,15,1857.0,600.0,1857.0,600.0,0.0,0.0,0.0
0,30,1513.0,473.0,1513.0,473.0,0.0,0.0,0.0
1,0,663.0,237.0,663.0,237.0,0.0,0.0,0.0
1,1,522.0,292.0,522.0,292.0,0.0,0.0,0.0
1,2,369.25,346.0,369.25,346.0,0.0,0.0,0.0
1,6,501.25,353.0,501.25,353.0,0.0,0.0,0.0
1,7,202.5,473.0,202.5,473.0,0.0,0.0,0.0
1,8,511.25,415.0,511.25,415.0,0.0,0.0,0.0
1,9,892.0,309.0,892.0,309.0,0.0,0.0,0.0
1,10,765.0,378.25,765.0,378.25,0.0,0.0,0.0
1,11,549.25,481.0,549.25,481.0,0.0,0.0,0.0
1,12,304.5,611.75,304.5,611.75,0.0,0.0,0.0
1,13,1850.25,285.25,1850.25,285.25,0.0,0.0,0.0
1,14,1854.25,427.25,1854.25,427.25,0.0,0.0,0.0
1,15,1857.0,600.25,1857.0,600.25,0.0,0.0,0.0
1,30,1513.25,473.0,1513.25,473.0,0.0,0.0,0.0
2,0,663.25,237.25,663.25,237.25,0.0,0.0,0.0
2,1,522.25,292.0,522.25,292.0,0.0,0.0,0.0
2,2,369.4375,346.0,369.44,346.0,0.0024999999999977263,0.0,0.0024999999999977263
2,6,501.4375,353.0,501.44,353.0,0.0024999999999977263,0.0,0.0024999999999977263
2,7,203.125,473.0,203.12,473.0,-0.0049999999999954525,0.0,0.0049999999999954525
2,8,511.4375,415.25,511.44,415.25,0.0024999999999977263,0.0,0.0024999999999977263
2,9,892.0,309.0,892.0,309.0,0.0,0.0,0.0
2,10,765.0,378.4375,765.0,378.44,0.0,0.0024999999999977263,0.0024999999999977263
2,11,549.4375,481.0,549.44,481.0,0.0025000000000545697,0.0,0.0025000000000545697
2,12,304.875,611.8125,304.88,611.81,0.0049999999999954525,-0.0025000000000545697,0.005590169943769811
2,13,1850.6875,285.6875,1850.69,285.69,0.0025000000000545697,0.0024999999999977263,0.0035355339059697163
2,14,1854.6875,427.4375,1854.69,427.44,0.0025000000000545697,0.0024999999999977263,0.0035355339059697163
2,15,1857.25,600.6875,1857.25,600.69,0.0,0.0025000000000545697,0.0025000000000545697
2,30,1513.4375,473.25,1513.44,473.25,0.0025000000000545697,0.0,0.0025000000000545697
3,0,663.4375,237.4375,663.44,237.44,0.0025000000000545697,0.0024999999999977263,0.0035355339059697163
3,1,522.4375,292.25,522.44,292.25,0.0025000000000545697,0.0,0.0025000000000545697
3,2,369.578125,346.25,369.58,346.25,0.0018749999999840838,0.0,0.0018749999999840838
3,6,501.578125,353.25,501.58,353.25,0.0018749999999840838,0.0,0.0018749999999840838
3,7,203.59375,473.0,203.59,473.0,-0.0037499999999965894,0.0,0.0037499999999965894
3,8,511.578125,415.4375,511.58,415.44,0.0018749999999840838,0.0024999999999977263,0.0031249999999886312
3,9,892.0,309.25,892.0,309.25,0.0,0.0,0.0
3,10,765.0,378.578125,765.0,378.58,0.0,0.0018749999999840838,0.0018749999999840838
3,11,549.578125,481.0,549.58,481.0,0.0018750000000409273,0.0,0.0018750000000409273
3,12,305.15625,611.859375,305.16,611.86,0.003750000000025011,0.0006250000000136424,0.003801726581463301
3,13,1851.015625,286.015625,1851.02,286.02,0.00437499999998181,0.00437499999998181,0.006187184335356566
3,14,1855.015625,427.828125,1855.02,427.83,0.00437499999998181,0.0018749999999840838,0.0047598581911419535
3,15,1857.4375,601.015625,1857.44,601.02,0.0025000000000545697,0.00437499999998181,0.005038911092697875
3,30,1513.828125,473.4375,1513.83,473.44,0.0018749999999272404,0.0024999999999977263,0.0031249999999545253
4,0,663.578125,237.578125,663.58,237.58,0.0018750000000409273,0.0018750000000125056,0.002651650429487336
4,1,522.578125,292.4375,522.58,292.44,0.0018750000000409273,0.0024999999999977263,0.003125000000022737
4,2,369.93359375,346.4375,369.93,346.44,-0.003593749999993179,0.0024999999999977263,0.004377789289406196
4,6,501.93359375,353.4375,501.93,353.44,-0.003593749999993179,0.0024999999999977263,0.004377789289406196
4,7,203.9453125,473.25,203.95,473.25,0.004687499999988631,0.0,0.004687499999988631
4,8,511.68359375,415.578125,511.68,415.58,-0.003593749999993179,0.0018749999999840838,0.004053475553446855
4,9,892.0,309.4375,892.0,309.44,0.0,0.0024999999999977263,0.0024999999999977263
4,10,765.25,378.68359375,765.25,378.68,0.0,-0.003593749999993179,0.003593749999993179
4,11,549.93359375,481.0,549.93,481.0,-0.003593750000050022,0.0,0.003593750000050022
4,12,305.6171875,611.89453125,305.62,611.89,0.0028125000000045475,-0.004531250000013642,0.005333140051850243
4,13,1851.26171875,286.26171875,1851.26,286.26,-0.001718750000009095,-0.001718750000009095,0.0024306795603416193
4,14,1855.26171875,428.12109375,1855.26,428.12,-0.001718750000009095,-0.0010937499999954525,0.0020372507516310595
4,15,1857.578125,601.26171875,1857.58,601.26,0.0018749999999272404,-0.001718750000009095,0.0025435657180930896
4,30,1514.12109375,473.578125,1514.12,473.58,-0.0010937500001091394,0.0018749999999840838,0.0021706943733927763
5,0,663.93359375,237.68359375,663.93,237.68,-0.003593750000050022,-0.003593749999993179,0.005082329989808858
5,1,522.93359375,292.578125,522.93,292.58,-0.003593750000050022,0.0018749999999840838,0.0040534755534972515
5,2,370.4501953125,346.578125,370.45,346.58,-0.00019531250001136868,0.0018749999999840838,0.0018851450799874808
5,6,502.4501953125,353.578125,502.45,353.58,-0.00019531250001136868,0.0018749999999840838,0.0018851450799874808
5,7,204.458984375,473.4375,204.46,473.44,0.001015625000007958,0.0024999999999977263,0.002698424381121286
5,8,512.0126953125,415.68359375,512.01,415.68,-0.002695312500009095,-0.003593749999993179,0.0044921875
5,9,892.25,309.578125,892.25,309.58,0.0,0.0018749999999840838,0.0018749999999840838
5,10,765.4375,379.0126953125,765.44,379.01,0.0025000000000545697,-0.002695312500009095,0.0036762357749440017
5,11,550.4501953125,481.25,550.45,481.25,-0.00019531249995452526,0.0,0.00019531249995452526
5,12,305.962890625,611.9208984375,305.96,611.92,-0.0028906250000204636,-0.0008984375000409273,0.003027028713478466
5,13,1851.1962890625,286.4462890625,1851.2,286.45,0.0037109375000454747,0.0037109374999886313,0.005248058141643024
5,14,1855.1962890625,428.3408203125,1855.2,428.34,0.0037109375000454747,-0.0008203125000250111,0.00380052229659833
5,15,1857.68359375,601.4462890625,1857.68,601.45,-0.0035937499999363354,0.0037109375000454747,0.005165858708025817
5,30,1514.3408203125,473.68359375,1514.34,473.68,-0.0008203125000818545,-0.003593749999993179,0.0036861838885548716
6,0,664.2001953125,238.0126953125,664.2,238.01,-0.00019531249995452526,-0.002695312500009095,0.0027023797744476557
6,1,523.2001953125,292.68359375,523.2,292.68,-0.00019531249995452526,-0.003593749999993179,0.003599053491557115
6,2,370.837646484375,346.68359375,370.84,346.68,0.002353515624974989,-0.003593749999993179,0.004295820627010907
6,6,502.837646484375,353.93359375,502.84,353.93,0.002353515624974989,-0.003593749999993179,0.004295820627010907
6,7,204.84423828125,473.578125,204.84,473.58,-0.004238281249996589,0.0018749999999840838,0.00463450676491177
6,8,512.259521484375,416.0126953125,512.26,416.01,0.00047851562499090505,-0.002695312500009095,0.0027374598948780443
6,9,892.4375,309.68359375,892.44,309.68,0.0025000000000545697,-0.003593749999993179,0.004377789289438657
6,10,765.578125,379.259521484375,765.58,379.26,0.0018750000000409273,0.00047851562499090505,0.0019350974661535563
6,11,550.837646484375,481.4375,550.84,481.44,0.0023535156250318323,0.0024999999999977263,0.0034335165351658944
6,12,306.47216796875,612.190673828125,306.47,612.19,-0.002167968749972715,-0.0006738281249454303,0.0022702715350428307
6,13,1851.397216796875,286.834716796875,1851.4,286.83,0.0027832031250909495,-0.004716796875015916,0.005476713649231256
6,14,1855.147216796875,428.755615234375,1855.15,428.76,0.0027832031250909495,0.004384765624990905,0.005193494894733017
6,15,1857.7626953125,601.834716796875,1857.76,601.83,-0.002695312500009095,-0.004716796874959073,0.005432576021771711
6,30,1514.505615234375,474.0126953125,1514.51,474.01,0.004384765624990905,-0.002695312500009095,0.005146929090128128
7,0,664.400146484375,238.259521484375,664.4,238.26,-0.00014648437502273737,0.00047851562499090505,0.0005004346865338557
7,1,523.400146484375,293.0126953125,523.4,293.01,-0.00014648437502273737,-0.002695312500009095,0.002699290118685111
7,2,371.12823486328125,346.7626953125,371.13,346.76,0.0017651367187454525,-0.002695312500009095,0.0032218654702778544
7,6,503.12823486328125,354.2001953125,503.13,354.2,0.0017651367187454525,-0.00019531250001136868,0.0017759095158605784
7,7,205.1331787109375,473.68359375,205.13,473.68,-0.0031787109375045475,-0.003593749999993179,0.004797837250956102
7,8,512.4446411132812,416.259521484375,512.44,416.26,-0.00464111328119543,0.00047851562499090505,0.004665716417898654
7,9,892.578125,310.0126953125,892.58,310.01,0.0018750000000409273,-0.002695312500009095,0.0032833419670906584
7,10,765.93359375,379.44464111328125,765.93,379.44,-0.003593750000050022,-0.004641113281252274,0.005869835734692733
7,11,551.1282348632812,481.578125,551.13,481.58,0.0017651367187454525,0.0018749999999840838,0.0025751374013445916
7,12,306.8541259765625,612.3930053710938,306.85,612.39,-0.004125976562477263,-0.0030053710937636424,0.0051045017391849095
7,13,1851.5479125976562,287.12603759765625,1851.55,287.13,0.0020874023437045253,0.0039624023437454525,0.004478602558636187
7,14,1855.1104125976562,429.06671142578125,1855.11,429.07,-0.0004125976563500444,0.003288574218743179,0.0033143562298292347
7,15,1857.822021484375,602.1260375976562,1857.82,602.13,-0.0020214843750636646,0.0039624023437454525,0.004448261616895525
7,30,1514.3792114257812,474.259521484375,1514.38,474.26,0.0007885742188591394,0.00047851562499090505,0.0009224025704700407
8,0,664.5501098632812,238.44464111328125,650.6,237.6,-13.950109863281227,-0.8446411132812557,13.97565682921061
8,1,523.5501098632812,293.259521484375,509.8,289.3,-13.750109863281239,-3.9595214843749886,14.308855007914893
8,2,371.34617614746094,347.072021484375,368.8,340.4,-2.546176147460926,-6.672021484375023,7.141350268811974
8,6,503.34617614746094,354.400146484375,498.9,349.6,-4.44617614746096,-4.800146484374977,6.542926608613934
8,7,205.34988403320312,474.0126953125,206.2,470.7,0.8501159667968636,-3.3126953125000114,3.4200361680050273
8,8,512.8334808349609,416.44464111328125,518.4,414.6,5.56651916503904,-1.8446411132812273,5.8641995576169075
8,9,892.68359375,310.259521484375,882.7,311.5,-9.983593749999955,1.240478515625,10.060364362823314
8,10,766.2001953125,379.58348083496094,759.3,379.0,-6.9001953125000455,-0.5834808349609375,6.924820953310945
8,11,551.3461761474609,481.93359375,574.4,482.6,23.05382385253904,0.6664062500000227,23.063453590343684
8,12,307.1405944824219,612.5447540283203,338.3,610.0,31.159405517578136,-2.5447540283203125,31.26314643911472
8,13,1851.6609344482422,287.3445281982422,1866.2,288.5,14.539065551757858,1.1554718017578125,14.584908028608528
8,14,1855.3328094482422,429.30003356933594,1860.9,429.3,5.5671905517579034,-3.3569335926131316e-05,5.567190551859112
8,15,1857.8665161132812,602.3445281982422,1854.5,603.5,-3.36651611328125,1.1554718017578125,3.5592900732645743
8,30,1514.534408569336,474.44464111328125,1512.3,484.5,-2.234408569335983,10.05535888671875,10.300622505238982
9,0,664.6625823974609,238.58348083496094,664.66,238.58,-0.0025823974609693323,-0.0034808349609249944,0.004334165279684032
9,1,523.6625823974609,293.44464111328125,523.66,293.44,-0.0025823974609693323,-0.004641113281252274,0.005311187168217394
9,2,371.5096321105957,347.30401611328125,371.51,347.3,0.00036788940428778005,-0.004016113281238631,0.004032928030789608
9,6,503.5096321105957,354.55010986328125,503.51,354.55,0.00036788940428778005,-0.00010986328123863132,0.000383943425978016
9,7,205.51241302490234,474.259521484375,205.51,474.26,-0.002413024902352845,0.00047851562499090505,0.002460013492388892
9,8,512.8751106262207,416.83348083496094,512.88,416.83,0.0048893737792923275,-0.003480834960953416,0.00600184871344046
9,9,892.7626953125,310.44464111328125,892.76,310.44,-0.002695312500009095,-0.004641113281252274,0.005366995617859356
9,10,766.400146484375,379.9376106262207,766.4,379.94,-0.00014648437502273737,0.0023893737792946013,0.0023938597973370054
9,11,551.5096321105957,482.2001953125,551.51,482.2,0.00036788940428778005,-0.00019531250001136868,0.00041652081154236286
9,12,307.3554458618164,612.6585655212402,307.36,612.66,0.004554138183607392,0.0014344787597337927,0.004774715060348444
9,13,1851.4957008361816,287.50839614868164,1851.5,287.51,0.004299163818359375,0.00160385131835028,0.0045885889539665995
9,14,1855.2496070861816,429.47502517700195,1855.25,429.48,0.000392913818359375,0.004974822998065065,0.004990315133409395
9,15,1857.899887084961,602.5083961486816,1857.9,602.51,0.00011291503915344947,0.00160385131835028,0.001607821152193538
9,30,1514.650806427002,474.58348083496094,1514.65,474.58,-0.0008064270018621755,-0.003480834960953416,0.0035730290419653723
10,0,664.7469367980957,238.9376106262207,664.75,238.94,0.003063201904296875,0.0023893737792946013,0.0038848826190334977
10,1,523.7469367980957,293.58348083496094,523.75,293.58,0.003063201904296875,-0.003480834960953416,0.004636746481303843
10,2,371.6322240829468,347.47801208496094,371.63,347.48,-0.0022240829467818912,0.00198791503908069,0.0029830104184815046
10,6,503.6322240829468,354.66258239746094,503.63,354.66,-0.0022240829467818912,-0.002582397460912489,0.003408125819316724
10,7,205.63430976867676,474.44464111328125,205.63,474.44,-0.00430976867676236,-0.004641113281252274,0.006333564441656707
10,8,512.9063329696655,417.1251106262207,512.91,417.13,0.003667030334440824,0.0048893737792923275,0.006111717224098356
10,9,892.822021484375,310.58348083496094,892.82,310.58,-0.002021484374949978,-0.003480834960953416,0.004025246713378259
10,10,766.3001098632812,380.2032079696655,766.3,380.2,-0.00010986328129547474,-0.0032079696655387124,0.003209850357196355
10,11,551.6322240829468,482.400146484375,551.63,482.4,-0.0022240829467818912,-0.00014648437502273737,0.002228901663665722
10,12,307.2665843963623,612.9939241409302,307.27,612.99,0.0034156036376771226,-0.003924140930166686,0.005202425419890482
10,13,1851.6217756271362,287.63129711151123,1851.62,287.63,-0.0017756271363396081,-0.0012971115112350162,0.002198942927836915
10,14,1855.1872053146362,429.60626888275146,1855.19,429.61,0.002794685363824101,0.0037311172485487987,0.004661705932938178
10,15,1857.9249153137207,602.6312971115112,1857.92,602.63,-0.004915313720630365,-0.0012971115112350162,0.005083582127279495
10,30,1514.4881048202515,474.9376106262207,1514.49,474.94,0.0018951797485442512,0.0023893737792946013,0.003049723485247936
11,0,664.8102025985718,239.20320796966553,650.9,237.2,-13.9102025985718,-2.0032079696655387,14.05370337324099
11,1,523.8102025985718,293.6876106262207,512.4,290.6,-11.4102025985718,-3.0876106262206804,11.820577935092917
11,2,371.7241680622101,347.6085090637207,370.7,341.4,-1.0241680622100944,-6.208509063720726,6.2924164685717985
11,6,503.7241680622101,354.9969367980957,503.7,350.8,-0.024168062210094376,-4.196936798095692,4.1970063834167215
11,7,205.72573232650757,474.83348083496094,207.8,471.7,2.074267673492443,-3.133480834960949,3.7578302947795974
11,8,512.9297497272491,417.3438329696655,519.2,414.2,6.2702502727509,-3.1438329696655387,7.014251508471077
11,9,892.8665161132812,310.6876106262207,885.6,310.7,-7.266516113281227,0.012389373779285506,7.266526675183843
11,10,766.2250823974609,380.40240597724915,760.0,380.4,-6.2250823974609375,-0.002405977249168245,6.2250828624127195
11,11,551.7241680622101,482.55010986328125,574.6,482.5,22.87583193778994,-0.05010986328125,22.87588682093895
11,12,307.19993829727173,613.2454431056976,340.5,610.5,33.30006170272827,-2.745443105697632,33.41304486652081
11,13,1851.4663317203522,287.7234728336334,1865.3,287.4,13.833668279647782,-0.3234728336334456,13.837449647439808
11,14,1855.1404039859772,429.7047016620636,1859.5,429.7,4.359596014022827,-0.0047016620636100015,4.359598549305875
11,15,1857.9436864852905,602.9734728336334,1852.4,604.1,-5.543686485290436,1.1265271663665999,5.65698889019183
11,30,1514.3660786151886,475.2032079696655,1513.3,486.2,-1.066078615188644,10.996792030334461,11.048346418002563
12,0,664.8576519489288,239.40240597724915,664.86,239.4,0.0023480510711806346,-0.0024059772491398235,0.0033618551956101496
12,1,523.8576519489288,293.7657079696655,523.86,293.77,0.0023480510711806346,0.004292030334454466,0.004892327485435725
12,2,371.54312604665756,347.9563817977905,371.54,347.96,-0.0031260466575417922,0.0036182022094521926,0.004781584981322923
12,6,503.54312604665756,355.2477025985718,503.54,355.25,-0.0031260466575417922,0.0022974014282226562,0.0038794614352417153
12,7,205.79429924488068,475.1251106262207,205.79,475.13,-0.004299244880684228,0.0048893737792923275,0.006510720582064698
12,8,512.9473122954369,417.50787472724915,512.95,417.51,0.002687704563186344,0.0021252727508453972,0.0034264471518554987
12,9,892.8998870849609,310.7657079696655,892.9,310.77,0.00011291503903976263,0.004292030334454466,0.004293515365981432
12,10,766.1688117980957,380.55180448293686,766.17,380.55,0.0011882019042559477,-0.0018044829368477622,0.002160551419117857
12,11,551.7931260466576,482.66258239746094,551.79,482.66,-0.0031260466575986356,-0.002582397460912489,0.004054743438444764
