cid,st_tock,povprecje_px,mediana_px,std_odklon_px,max_napaka_px,mean_dx,mean_dy
0,108,7.96,0.0,23.97,99.22,-7.6,-2.3
1,87,7.04,0.0,22.46,92.54,-6.42,-0.38
2,46,0.96,0.0,6.49,44.0,0.96,0.0
6,87,4.5,0.0,14.81,68.88,-3.86,0.11
8,93,1.99,0.0,6.31,30.81,-1.39,0.7
9,218,1.55,0.0,6.53,43.94,-1.2,-0.06
10,162,1.74,0.0,6.73,51.98,0.55,0.45
11,105,4.22,0.0,13.22,71.27,3.98,1.31
13,602,1.1,0.0,4.06,26.39,-0.4,-0.33
14,602,1.09,0.0,3.71,22.25,-0.01,0.48
15,602,1.68,0.0,6.0,34.67,0.62,0.31
16,420,2.84,0.0,9.75,49.4,1.62,-0.04
17,388,0.52,0.0,2.0,14.94,-0.44,0.03
18,371,1.9,0.0,6.29,34.66,-1.86,0.31
19,343,4.66,0.0,14.45,72.42,-4.65,0.09
20,304,5.63,0.0,18.03,96.99,-5.61,0.22
21,339,1.41,0.0,5.42,33.73,-1.39,0.04
22,336,0.77,0.0,2.58,17.34,0.6,-0.41
23,295,0.89,0.0,3.22,17.31,-0.74,-0.31
24,348,3.3,0.0,10.16,56.34,2.97,-1.38
25,336,2.11,0.0,6.62,38.07,1.78,-1.08
26,322,1.52,0.0,5.15,35.15,1.15,-0.94
27,256,0.92,0.0,3.22,20.38,0.55,-0.62
30,381,1.22,0.0,5.03,40.48,0.89,0.45
31,602,2.11,0.0,7.0,39.83,0.73,0.57
