cid,st_tock,povprecje_px,mediana_px,std_odklon_px,max_napaka_px,mean_dx,mean_dy
13,767,2.98,0.0,10.79,60.55,2.88,0.23
14,767,1.75,0.0,6.83,45.61,1.52,0.23
15,767,1.12,0.0,4.13,31.74,-0.21,-0.08
16,360,2.26,0.0,10.67,65.65,-2.16,0.48
17,705,1.19,0.0,4.18,29.16,0.61,-0.06
18,613,1.08,0.0,4.91,43.36,-0.67,-0.06
19,593,2.0,0.0,7.92,53.19,-1.35,-0.66
20,338,2.45,0.0,8.75,53.27,-2.39,-0.01
21,592,1.07,0.0,4.91,47.83,-0.88,-0.23
22,590,0.72,0.0,3.12,31.3,-0.08,-0.13
23,326,1.12,0.0,4.38,31.98,-1.08,-0.24
24,594,1.2,0.0,4.37,37.63,0.82,-0.22
25,589,0.79,0.0,3.03,24.98,0.12,-0.19
26,354,0.83,0.0,3.32,31.83,-0.33,-0.31
27,300,0.91,0.0,3.75,22.74,-0.86,-0.24
28,208,0.45,0.0,2.47,20.62,-0.43,-0.12
30,450,2.26,0.0,7.52,40.04,2.03,0.5
31,767,1.14,0.0,4.4,30.22,-0.15,-0.21
