cid,st_tock,povprecje_px,mediana_px,std_odklon_px,max_napaka_px,mean_dx,mean_dy
0,384,7.79,0.0,24.39,99.1,-7.51,-1.97
1,317,3.75,0.0,16.89,92.84,-3.39,-0.2
2,100,0.0,0.0,0.0,0.01,0.0,-0.0
6,317,2.37,0.0,11.49,66.55,-2.36,-0.01
8,326,1.72,0.0,6.1,32.05,-1.56,0.49
9,666,1.74,0.0,6.66,52.68,-1.25,-0.16
10,522,1.49,0.0,5.85,54.25,0.68,0.27
11,358,3.33,0.0,10.57,68.66,3.1,1.12
13,1053,1.16,0.0,4.01,25.73,0.15,-0.62
14,1053,0.56,0.0,2.76,24.18,-0.23,0.2
15,1053,0.68,0.0,3.16,26.45,-0.46,-0.06
16,409,2.15,0.0,8.05,91.5,-0.87,-1.27
17,358,0.92,0.0,3.6,34.72,0.49,-0.3
18,286,1.47,0.0,5.78,38.2,-1.32,0.2
19,119,3.93,0.0,14.85,79.05,-3.9,-0.35
20,25,5.82,0.0,16.14,53.72,-5.81,-0.31
21,104,0.93,0.0,4.38,28.93,-0.24,-0.2
22,94,2.08,0.0,8.66,56.48,1.91,-0.63
24,136,4.41,0.0,16.21,85.32,4.17,-1.35
25,94,3.58,0.0,13.35,77.4,3.27,-1.34
26,61,3.96,0.0,13.99,69.54,3.63,-1.43
30,1053,1.25,0.0,4.61,38.29,0.97,0.42
31,1053,0.95,0.0,4.06,34.29,-0.48,0.03
