# ZBIRNI REZULTATI EVALUACIJE EKIP
Skupaj Igralcev,Pravilno Razvrščeni,Točnost (%),Precision (%),Recall (%),F1-score (%),Uporabljena Preslikava
21,20,95.2,100.0,90.0,94.7,"Obrnjena (KMeans 0 -> GT 1, KMeans 1 -> GT 0)"

# PODROBNOSTI PO IGRALCIH IN PRESLIKAVA ID-JEV
Python ID,CVAT XML ID,Vloga,GT Ekipa (CVAT),Predvideno (KMeans),Pravilno Razvrščen
0,0,IGRALEC,1,1,DA
1,1,IGRALEC,1,1,DA
2,2,IGRALEC,0,0,DA
3,3,IGRALEC,1,1,DA
4,4,IGRALEC,0,0,DA
5,5,IGRALEC,0,0,DA
6,6,IGRALEC,0,0,DA
7,7,IGRALEC,1,1,DA
8,8,IGRALEC,0,0,DA
10,9,IGRALEC,0,0,DA
11,10,IGRALEC,1,1,DA
12,11,IGRALEC,1,1,DA
13,12,IGRALEC,0,0,DA
14,13,IGRALEC,1,1,DA
15,14,IGRALEC,0,0,DA
16,15,IGRALEC,1,1,DA
17,16,IGRALEC,0,0,DA
19,18,IGRALEC,0,0,DA
20,19,IGRALEC,1,1,DA
21,20,IGRALEC,1,0,NE
20000,22,GOLMAN,0,0,DA
